,date,abbrev,state,positive,death,recovered,population,percent,death rate
0,2020-03-21,WY,Wyoming,23.0,0.0,0.0,578759.0,0.003974020274414739,0.0
1,2020-03-21,MI,Michigan,7023.0,23.0,0.0,9986857.0,0.07032242476286583,0.00023030268682128923
2,2020-03-21,ME,Maine,73.0,0.0,0.0,1344212.0,0.005430690992194683,0.0
3,2020-03-21,MD,Maryland,190.0,3.0,0.0,6045680.0,0.0031427399399240447,4.9622209577748073e-05
4,2020-03-21,MA,Massachusetts,426.0,7.0,0.0,6892503.0,0.006180628430629628,0.00010155962209954788
5,2020-03-21,LA,Louisiana,580.0,16.0,0.0,4648794.0,0.012476354082370612,0.0003441752850309134
6,2020-03-21,KY,Kentucky,54.0,2.0,0.0,4467673.0,0.001208682909425108,4.4766033682411404e-05
7,2020-03-21,KS,Kansas,55.0,2.0,0.0,2913314.0,0.0018878843818414355,6.865034115787039e-05
8,2020-03-21,IN,Indiana,126.0,4.0,0.0,6732219.0,0.001871596868729315,5.941577361045445e-05
9,2020-03-21,IL,Illinois,753.0,6.0,0.0,12671821.0,0.005942318787489185,4.734915368517279e-05
10,2020-03-21,ID,Idaho,31.0,0.0,0.0,1787065.0,0.0017346878820859901,0.0
11,2020-03-21,IA,Iowa,68.0,0.0,0.0,3155070.0,0.002155261214489694,0.0
12,2020-03-21,HI,Hawaii,37.0,0.0,0.0,1415872.0,0.0026132305745152104,0.0
13,2020-03-21,GU,Guam,15.0,0.0,0.0,,,
14,2020-03-21,GA,Georgia,507.0,14.0,0.0,10617423.0,0.004775170020069842,0.00013185873822678065
15,2020-03-21,FL,Florida,528.0,12.0,0.0,21477737.0,0.002458359556223265,5.58718080959833e-05
16,2020-03-21,DE,Delaware,45.0,0.0,0.0,973764.0,0.004621242929498318,0.0
17,2020-03-21,DC,District of Colombia,77.0,1.0,0.0,,,
18,2020-03-21,CT,Connecticut,194.0,4.0,0.0,3565287.0,0.005441357175453196,0.00011219293145264323
19,2020-03-21,CO,Colorado,475.0,5.0,0.0,5758736.0,0.008248337829690405,8.68246087335832e-05
20,2020-03-21,CA,California,1279.0,24.0,0.0,39512223.0,0.0032369730247776745,6.07406978848039e-05
21,2020-03-21,AZ,Arizona,104.0,1.0,0.0,7278717.0,0.0014288232390406166,1.3738684990775159e-05
22,2020-03-21,AS,American Somoa,0.0,0.0,0.0,,,
23,2020-03-21,AR,Arkansas,118.0,0.0,0.0,3017804.0,0.00391012802686987,0.0
24,2020-03-21,AL,Alabama,124.0,0.0,0.0,4903185.0,0.002528968415427931,0.0
25,2020-03-21,AK,Alaska,15.0,0.0,0.0,731545.0,0.002050454859236274,0.0
26,2020-03-21,MN,Minnesota,327.0,1.0,0.0,5639632.0,0.005798250666000902,1.7731653412846796e-05
27,2020-03-21,MO,Missouri,73.0,3.0,0.0,6137428.0,0.0011894233219518014,4.888041049116992e-05
28,2020-03-21,WV,West Virginia,11.0,0.0,0.0,1792147.0,0.0006137889358406426,0.0
29,2020-03-21,MS,Mississippi,140.0,1.0,0.0,2976149.0,0.004704065555857587,3.3600468256125616e-05
30,2020-03-21,WI,Wisconsin,315.0,4.0,0.0,5822434.0,0.005410108555975044,6.869979118698469e-05
31,2020-03-21,WA,Washington,2965.0,111.0,0.0,7614893.0,0.03893685702478025,0.0014576698582632742
32,2020-03-21,VT,Vermont,52.0,2.0,0.0,623989.0,0.008333480237632394,0.00032051847067816896
33,2020-03-21,VI,Virgin Islands,6.0,0.0,0.0,,,
34,2020-03-21,VA,Virginia,152.0,2.0,0.0,8535519.0,0.0017807938802549674,2.3431498424407466e-05
35,2020-03-21,UT,Utah,136.0,0.0,0.0,3205958.0,0.004242101736828742,0.0
36,2020-03-21,TX,Texas,304.0,5.0,0.0,28995881.0,0.0010484247745395285,1.7243828528610666e-05
37,2020-03-21,TN,Tennessee,371.0,0.0,0.0,6829174.0,0.005432575008339222,0.0
38,2020-03-21,SD,South Dakota,14.0,1.0,0.0,884659.0,0.0015825306700095743,0.00011303790500068387
39,2020-03-21,SC,South Carolina,152.0,1.0,0.0,5148714.0,0.0029521934991922254,1.942232565258043e-05
40,2020-03-21,RI,Rhode Island,88.0,0.0,0.0,1059361.0,0.008306894439194948,0.0
41,2020-03-21,PR,Puerto Rico,21.0,0.0,0.0,3193694.0,0.000657545776145116,0.0
42,2020-03-21,MP,Northern Marianas,0.0,0.0,0.0,,,
43,2020-03-21,OR,Oregon,114.0,3.0,0.0,4217737.0,0.0027028712316581145,7.112819030679249e-05
44,2020-03-21,MT,Montana,20.0,0.0,0.0,1068778.0,0.0018712960034731254,0.0
45,2020-03-21,NC,North Carolina,184.0,0.0,0.0,10488084.0,0.0017543719138786455,0.0
46,2020-03-21,ND,North Dakota,28.0,0.0,0.0,762062.0,0.0036742417283633093,0.0
47,2020-03-21,NE,Nebraska,38.0,0.0,0.0,1934408.0,0.001964425291872242,0.0
48,2020-03-21,NH,New Hampshire,55.0,0.0,0.0,1359711.0,0.004044977204714826,0.0
49,2020-03-21,PA,Pennsylvania,371.0,2.0,0.0,12801989.0,0.0028979871799608642,1.5622572398710858e-05
50,2020-03-21,NM,New Mexico,57.0,0.0,0.0,2096829.0,0.0027183904839164284,0.0
51,2020-03-21,NV,Nevada,124.0,5.0,0.0,3080156.0,0.004025770123331416,0.00016232944045691192
52,2020-03-21,NY,New York,10356.0,44.0,0.0,19453561.0,0.05323446951434752,0.00022617966962449704
53,2020-03-21,OH,Ohio,247.0,3.0,0.0,11689100.0,0.0021130797067353347,2.5664935709336047e-05
