date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-09-30,20390.0,6236.0,1638,31018.0,401494.0,93321510,694894,1507.0,7165440,44346,2838664.0,112426581,950212
2020-10-01,20492.0,6263.0,1732,30951.0,403226.0,94089782,768272,1547.0,7211040,45600,2858704.0,113452777,1026196
2020-10-02,20612.0,6194.0,1433,30877.0,404659.0,95028778,938996,1533.0,7260293,49253,2871287.0,114677825,1225048
2020-10-03,20686.0,6073.0,1083,30209.0,405742.0,95825561,796783,1501.0,7311230,50937,2895307.0,115743069,1065244
2020-10-04,20729.0,6056.0,663,30063.0,406405.0,96611256,785695,1485.0,7349212,37982,2909644.0,116739610,996541
2020-10-05,20812.0,6287.0,1486,31434.0,407891.0,97441775,830519,1515.0,7386968,37756,2933035.0,117721002,981392
2020-10-06,20973.0,6502.0,-768,32720.0,407123.0,98163672,721897,1609.0,7425885,38917,2950348.0,118659206,938204
2020-10-07,21112.0,6575.0,2140,33584.0,409263.0,98935924,772252,1646.0,7476473,50588,2997942.0,119699072,1039866
2020-10-08,21217.0,6694.0,2131,34446.0,411394.0,99850299,914375,1638.0,7531677,55204,3019299.0,120902185,1203113
2020-10-09,21389.0,6785.0,1727,34989.0,413121.0,100820690,970391,1655.0,7588467,56790,3037145.0,122143578,1241393
2020-10-10,21512.0,6752.0,1472,34700.0,414593.0,101759122,938432,1667.0,7645891,57424,3061045.0,123385732,1242154
2020-10-11,21553.0,6749.0,981,34609.0,415574.0,102538086,778964,1646.0,7692159,46268,3072920.0,124444779,1059047
2020-10-12,21625.0,6866.0,1169,35156.0,416743.0,103378242,840156,1666.0,7734804,42645,3104644.0,125464165,1019386
2020-10-13,21735.0,7096.0,2008,36161.0,418751.0,104251007,872765,1755.0,7783221,48417,3122531.0,126552571,1088406
2020-10-14,21889.0,7239.0,2455,37176.0,421206.0,104892436,641429,1776.0,7839458,56237,3153746.0,127633098,1080527
2020-10-15,22051.0,7302.0,1999,37420.0,423205.0,105770507,878071,1769.0,7902842,63384,3175500.0,128790286,1157188
2020-10-16,22202.0,7328.0,1864,37470.0,425069.0,106710099,939592,1739.0,7971107,68265,3195422.0,130011537,1221251
2020-10-17,22320.0,7466.0,1528,37474.0,426597.0,107678048,967949,1791.0,8028462,57355,3218561.0,131327781,1316244
2020-10-18,22391.0,7383.0,813,36536.0,427410.0,108423338,745290,1762.0,8076742,48280,3231947.0,132366168,1038387
2020-10-19,22475.0,8069.0,1666,37954.0,429076.0,109414240,990902,1800.0,8133850,57108,3270429.0,133474987,1108819
2020-10-20,22662.0,8213.0,2265,39406.0,431341.0,110194424,780184,2045.0,8194419,60569,3293315.0,134476730,1001743
2020-10-21,22855.0,8291.0,2131,40397.0,433472.0,110937305,742881,2090.0,8255399,60980,3321258.0,135494988,1018258
2020-10-22,23018.0,8178.0,2496,41125.0,435968.0,111878687,941382,2147.0,8328402,73003,3350982.0,136774053,1279065
2020-10-23,23221.0,8340.0,15071,41617.0,451039.0,112921165,1042478,2180.0,8410744,82342,3373284.0,138178626,1404573
2020-10-24,23356.0,8675.0,1793,42087.0,452832.0,113853405,932240,2230.0,8494063,83319,3404503.0,139491009,1312383
2020-10-25,23420.0,8590.0,1076,41883.0,453908.0,114739044,885639,2176.0,8558960,64897,3420713.0,140673228,1182219
2020-10-26,23542.0,8942.0,1754,43005.0,455662.0,115702574,963530,2301.0,8621495,62535,3458204.0,141867920,1194692
2020-10-27,23701.0,8997.0,2253,44392.0,457915.0,116522960,820386,2287.0,8693592,72097,3485474.0,142978426,1110506
2020-10-28,23883.0,9134.0,2464,45205.0,460379.0,117363209,840249,2347.0,8772385,78793,3515953.0,144144391,1165965
